{'hyperparameters': {'learning rate': 0.0001, 'dropout prob': 0.0, 'soft label weight': 0.0, 'is_dropout_input': False, 'batch size': 500, 'hidden_dim1': 64, 'hidden_dim2': 32}, 'train accuracy at best dev iter': 0.5773977858160693, 'best dev accuracy': 0.5655, 'best dev iteration': 943}
{'hyperparameters': {'learning rate': 0.0001, 'dropout prob': 0.0, 'soft label weight': 0.0, 'is_dropout_input': False, 'batch size': 500, 'hidden_dim1': 64, 'hidden_dim2': 64}, 'train accuracy at best dev iter': 0.5837114984106105, 'best dev accuracy': 0.5655, 'best dev iteration': 989}
{'hyperparameters': {'learning rate': 0.0001, 'dropout prob': 0.25, 'soft label weight': 0.0, 'is_dropout_input': False, 'batch size': 500, 'hidden_dim1': 64, 'hidden_dim2': 64}, 'train accuracy at best dev iter': 0.5819138441302203, 'best dev accuracy': 0.566, 'best dev iteration': 965}
{'hyperparameters': {'learning rate': 0.0001, 'dropout prob': 0.0, 'soft label weight': 0.2, 'is_dropout_input': False, 'batch size': 500, 'hidden_dim1': 64, 'hidden_dim2': 32}, 'train accuracy at best dev iter': 0.5832072783075742, 'best dev accuracy': 0.5665, 'best dev iteration': 968}
{'hyperparameters': {'learning rate': 0.0001, 'dropout prob': 0.25, 'soft label weight': 0.0, 'is_dropout_input': False, 'batch size': 500, 'hidden_dim1': 64, 'hidden_dim2': 32}, 'train accuracy at best dev iter': 0.578011618984983, 'best dev accuracy': 0.567, 'best dev iteration': 934}
{'hyperparameters': {'learning rate': 0.0001, 'dropout prob': 0.25, 'soft label weight': 0.2, 'is_dropout_input': False, 'batch size': 500, 'hidden_dim1': 64, 'hidden_dim2': 32}, 'train accuracy at best dev iter': 0.586101063246739, 'best dev accuracy': 0.5685, 'best dev iteration': 995}
{'hyperparameters': {'learning rate': 0.0001, 'dropout prob': 0.0, 'soft label weight': 0.8, 'is_dropout_input': False, 'batch size': 500, 'hidden_dim1': 64, 'hidden_dim2': 32}, 'train accuracy at best dev iter': 0.5885125506960429, 'best dev accuracy': 0.569, 'best dev iteration': 999}
{'hyperparameters': {'learning rate': 0.0001, 'dropout prob': 0.25, 'soft label weight': 0.2, 'is_dropout_input': False, 'batch size': 500, 'hidden_dim1': 128, 'hidden_dim2': 32}, 'train accuracy at best dev iter': 0.5846541707771566, 'best dev accuracy': 0.569, 'best dev iteration': 944}
{'hyperparameters': {'learning rate': 0.0001, 'dropout prob': 0.25, 'soft label weight': 0.5, 'is_dropout_input': False, 'batch size': 500, 'hidden_dim1': 64, 'hidden_dim2': 32}, 'train accuracy at best dev iter': 0.5846322481639812, 'best dev accuracy': 0.569, 'best dev iteration': 888}
{'hyperparameters': {'learning rate': 0.0001, 'dropout prob': 0.25, 'soft label weight': 0.0, 'is_dropout_input': False, 'batch size': 1000, 'hidden_dim1': 64, 'hidden_dim2': 32}, 'train accuracy at best dev iter': 0.5846322481639812, 'best dev accuracy': 0.5695, 'best dev iteration': 920}
{'hyperparameters': {'learning rate': 0.0001, 'dropout prob': 0.25, 'soft label weight': 0.2, 'is_dropout_input': False, 'batch size': 500, 'hidden_dim1': 64, 'hidden_dim2': 64}, 'train accuracy at best dev iter': 0.5857503014359312, 'best dev accuracy': 0.57, 'best dev iteration': 968}
{'hyperparameters': {'learning rate': 0.0001, 'dropout prob': 0.0, 'soft label weight': 0.0, 'is_dropout_input': False, 'batch size': 500, 'hidden_dim1': 128, 'hidden_dim2': 32}, 'train accuracy at best dev iter': 0.5865833607365998, 'best dev accuracy': 0.5715, 'best dev iteration': 963}
{'hyperparameters': {'learning rate': 0.0001, 'dropout prob': 0.0, 'soft label weight': 0.5, 'is_dropout_input': False, 'batch size': 500, 'hidden_dim1': 64, 'hidden_dim2': 32}, 'train accuracy at best dev iter': 0.5840841828345938, 'best dev accuracy': 0.5715, 'best dev iteration': 909}
{'hyperparameters': {'learning rate': 0.0001, 'dropout prob': 0.0, 'soft label weight': 0.0, 'is_dropout_input': False, 'batch size': 500, 'hidden_dim1': 128, 'hidden_dim2': 64}, 'train accuracy at best dev iter': 0.5854214622382988, 'best dev accuracy': 0.572, 'best dev iteration': 867}
{'hyperparameters': {'learning rate': 0.0001, 'dropout prob': 0.25, 'soft label weight': 0.5, 'is_dropout_input': False, 'batch size': 500, 'hidden_dim1': 64, 'hidden_dim2': 64}, 'train accuracy at best dev iter': 0.585969527567686, 'best dev accuracy': 0.5725, 'best dev iteration': 903}
{'hyperparameters': {'learning rate': 0.0001, 'dropout prob': 0.25, 'soft label weight': 0.5, 'is_dropout_input': False, 'batch size': 500, 'hidden_dim1': 128, 'hidden_dim2': 32}, 'train accuracy at best dev iter': 0.5876794913953743, 'best dev accuracy': 0.5725, 'best dev iteration': 932}
{'hyperparameters': {'learning rate': 0.0001, 'dropout prob': 0.0, 'soft label weight': 0.2, 'is_dropout_input': False, 'batch size': 500, 'hidden_dim1': 128, 'hidden_dim2': 32}, 'train accuracy at best dev iter': 0.58726296174504, 'best dev accuracy': 0.573, 'best dev iteration': 984}
{'hyperparameters': {'learning rate': 0.0001, 'dropout prob': 0.0, 'soft label weight': 0.2, 'is_dropout_input': False, 'batch size': 1000, 'hidden_dim1': 64, 'hidden_dim2': 32}, 'train accuracy at best dev iter': 0.5899813657788008, 'best dev accuracy': 0.573, 'best dev iteration': 997}
{'hyperparameters': {'learning rate': 0.0001, 'dropout prob': 0.0, 'soft label weight': 0.5, 'is_dropout_input': False, 'batch size': 1000, 'hidden_dim1': 64, 'hidden_dim2': 32}, 'train accuracy at best dev iter': 0.5895648361284666, 'best dev accuracy': 0.573, 'best dev iteration': 982}
{'hyperparameters': {'learning rate': 0.0001, 'dropout prob': 0.25, 'soft label weight': 0.0, 'is_dropout_input': False, 'batch size': 500, 'hidden_dim1': 128, 'hidden_dim2': 32}, 'train accuracy at best dev iter': 0.5867806642551792, 'best dev accuracy': 0.573, 'best dev iteration': 952}
{'hyperparameters': {'learning rate': 0.0001, 'dropout prob': 0.25, 'soft label weight': 0.2, 'is_dropout_input': False, 'batch size': 1000, 'hidden_dim1': 64, 'hidden_dim2': 32}, 'train accuracy at best dev iter': 0.588468705469692, 'best dev accuracy': 0.573, 'best dev iteration': 968}
{'hyperparameters': {'learning rate': 0.0001, 'dropout prob': 0.25, 'soft label weight': 0.8, 'is_dropout_input': False, 'batch size': 500, 'hidden_dim1': 64, 'hidden_dim2': 32}, 'train accuracy at best dev iter': 0.5890606160254303, 'best dev accuracy': 0.573, 'best dev iteration': 964}
{'hyperparameters': {'learning rate': 0.0001, 'dropout prob': 0.0, 'soft label weight': 0.8, 'is_dropout_input': False, 'batch size': 500, 'hidden_dim1': 64, 'hidden_dim2': 64}, 'train accuracy at best dev iter': 0.5902005919105557, 'best dev accuracy': 0.5735, 'best dev iteration': 969}
{'hyperparameters': {'learning rate': 0.0001, 'dropout prob': 0.25, 'soft label weight': 0.2, 'is_dropout_input': False, 'batch size': 500, 'hidden_dim1': 128, 'hidden_dim2': 64}, 'train accuracy at best dev iter': 0.5829880521758194, 'best dev accuracy': 0.5735, 'best dev iteration': 937}
{'hyperparameters': {'learning rate': 0.0001, 'dropout prob': 0.0, 'soft label weight': 0.2, 'is_dropout_input': False, 'batch size': 500, 'hidden_dim1': 64, 'hidden_dim2': 64}, 'train accuracy at best dev iter': 0.5846541707771566, 'best dev accuracy': 0.574, 'best dev iteration': 867}
{'hyperparameters': {'learning rate': 0.0001, 'dropout prob': 0.25, 'soft label weight': 0.0, 'is_dropout_input': False, 'batch size': 500, 'hidden_dim1': 128, 'hidden_dim2': 64}, 'train accuracy at best dev iter': 0.5867368190288282, 'best dev accuracy': 0.575, 'best dev iteration': 933}
{'hyperparameters': {'learning rate': 0.0001, 'dropout prob': 0.0, 'soft label weight': 0.0, 'is_dropout_input': False, 'batch size': 1000, 'hidden_dim1': 64, 'hidden_dim2': 32}, 'train accuracy at best dev iter': 0.5862325989257919, 'best dev accuracy': 0.5755, 'best dev iteration': 919}
{'hyperparameters': {'learning rate': 0.0001, 'dropout prob': 0.0, 'soft label weight': 0.2, 'is_dropout_input': False, 'batch size': 1000, 'hidden_dim1': 64, 'hidden_dim2': 64}, 'train accuracy at best dev iter': 0.5906171215608901, 'best dev accuracy': 0.5755, 'best dev iteration': 995}
{'hyperparameters': {'learning rate': 0.0001, 'dropout prob': 0.25, 'soft label weight': 0.0, 'is_dropout_input': False, 'batch size': 1000, 'hidden_dim1': 128, 'hidden_dim2': 32}, 'train accuracy at best dev iter': 0.5855749205305273, 'best dev accuracy': 0.5755, 'best dev iteration': 944}
{'hyperparameters': {'learning rate': 0.0001, 'dropout prob': 0.0, 'soft label weight': 0.8, 'is_dropout_input': False, 'batch size': 1000, 'hidden_dim1': 64, 'hidden_dim2': 32}, 'train accuracy at best dev iter': 0.5915378713142606, 'best dev accuracy': 0.576, 'best dev iteration': 933}
{'hyperparameters': {'learning rate': 0.0001, 'dropout prob': 0.0, 'soft label weight': 0.2, 'is_dropout_input': False, 'batch size': 500, 'hidden_dim1': 128, 'hidden_dim2': 64}, 'train accuracy at best dev iter': 0.5892579195440096, 'best dev accuracy': 0.5775, 'best dev iteration': 991}
{'hyperparameters': {'learning rate': 0.0001, 'dropout prob': 0.0, 'soft label weight': 0.5, 'is_dropout_input': False, 'batch size': 500, 'hidden_dim1': 64, 'hidden_dim2': 64}, 'train accuracy at best dev iter': 0.5904198180423107, 'best dev accuracy': 0.5775, 'best dev iteration': 969}
{'hyperparameters': {'learning rate': 0.0001, 'dropout prob': 0.25, 'soft label weight': 0.0, 'is_dropout_input': False, 'batch size': 1000, 'hidden_dim1': 64, 'hidden_dim2': 64}, 'train accuracy at best dev iter': 0.5885783185355694, 'best dev accuracy': 0.5775, 'best dev iteration': 974}
{'hyperparameters': {'learning rate': 0.0001, 'dropout prob': 0.25, 'soft label weight': 0.8, 'is_dropout_input': False, 'batch size': 500, 'hidden_dim1': 128, 'hidden_dim2': 32}, 'train accuracy at best dev iter': 0.5903759728159597, 'best dev accuracy': 0.578, 'best dev iteration': 977}
{'hyperparameters': {'learning rate': 0.0001, 'dropout prob': 0.0, 'soft label weight': 0.8, 'is_dropout_input': False, 'batch size': 1000, 'hidden_dim1': 64, 'hidden_dim2': 64}, 'train accuracy at best dev iter': 0.5935985969527567, 'best dev accuracy': 0.5785, 'best dev iteration': 932}
{'hyperparameters': {'learning rate': 0.0001, 'dropout prob': 0.25, 'soft label weight': 0.5, 'is_dropout_input': False, 'batch size': 1000, 'hidden_dim1': 64, 'hidden_dim2': 32}, 'train accuracy at best dev iter': 0.5912528773429793, 'best dev accuracy': 0.5785, 'best dev iteration': 981}
{'hyperparameters': {'learning rate': 0.0001, 'dropout prob': 0.25, 'soft label weight': 0.8, 'is_dropout_input': False, 'batch size': 1000, 'hidden_dim1': 64, 'hidden_dim2': 64}, 'train accuracy at best dev iter': 0.5931382220760715, 'best dev accuracy': 0.5785, 'best dev iteration': 959}
{'hyperparameters': {'learning rate': 0.0001, 'dropout prob': 0.0, 'soft label weight': 0.8, 'is_dropout_input': False, 'batch size': 500, 'hidden_dim1': 128, 'hidden_dim2': 32}, 'train accuracy at best dev iter': 0.5912309547298038, 'best dev accuracy': 0.579, 'best dev iteration': 993}
{'hyperparameters': {'learning rate': 0.0001, 'dropout prob': 0.25, 'soft label weight': 0.8, 'is_dropout_input': False, 'batch size': 500, 'hidden_dim1': 64, 'hidden_dim2': 64}, 'train accuracy at best dev iter': 0.5897182944206949, 'best dev accuracy': 0.579, 'best dev iteration': 904}
