Unnamed: 0,Y_soft,Y_hard
0,[0.01429202 0.10583829 0.8798697 ],[0. 0. 1.]
1,[0.61227626 0.36075017 0.02697357],[1. 0. 0.]
2,[0.08997538 0.7731337  0.13689099],[0. 0. 1.]
3,[0.31554261 0.5471459  0.13731146],[0. 1. 0.]
4,[0.00645745 0.32842988 0.66511261],[0. 1. 0.]
5,[0.00774387 0.40340185 0.58885425],[0. 1. 0.]
6,[0.85613012 0.13272753 0.01114232],[1. 0. 0.]
7,[0.32141712 0.63836384 0.04021914],[0. 1. 0.]
8,[0.00241358 0.19783202 0.79975438],[0. 0. 1.]
9,[0.00308507 0.05317503 0.94373995],[0. 0. 1.]
10,[0.475171   0.50751466 0.01731439],[1. 0. 0.]
11,[0.0089918  0.07325401 0.91775417],[0. 1. 0.]
12,[0.00191552 0.08616701 0.91191751],[0. 1. 0.]
13,[0.02063794 0.34756252 0.63179958],[0. 1. 0.]
14,[0.04246458 0.69956261 0.25797275],[0. 1. 0.]
15,[0.93856764 0.05534442 0.00608792],[0. 0. 1.]
16,[0.03220734 0.9046877  0.0631049 ],[0. 1. 0.]
17,[0.3272973  0.61742204 0.0552807 ],[0. 1. 0.]
18,[0.90087479 0.08935217 0.00977309],[1. 0. 0.]
19,[0.71601945 0.26619476 0.01778587],[0. 1. 0.]
20,[0.91973573 0.0705227  0.00974159],[1. 0. 0.]
21,[0.00437198 0.01018    0.98544806],[0. 0. 1.]
22,[0.00191177 0.00953097 0.98855722],[0. 0. 1.]
23,[0.00127807 0.02161202 0.97710991],[0. 0. 1.]
24,[0.89834499 0.09166308 0.00999187],[1. 0. 0.]
25,[0.91524845 0.07363772 0.01111382],[1. 0. 0.]
26,[0.00295983 0.01055992 0.9864803 ],[0. 0. 1.]
27,[0.00484854 0.86299855 0.13215299],[0. 1. 0.]
28,[0.68624365 0.29037419 0.02338211],[1. 0. 0.]
29,[0.91195846 0.08198137 0.00606013],[1. 0. 0.]
30,[0.0143026  0.90960193 0.07609542],[0. 1. 0.]
31,[0.92157859 0.07159023 0.00683122],[1. 0. 0.]
32,[0.00990876 0.11088223 0.87920904],[0. 0. 1.]
33,[0.11557124 0.77464026 0.1097885 ],[1. 0. 0.]
34,[0.00527812 0.01620124 0.97852063],[0. 0. 1.]
35,[0.83992374 0.14110604 0.0189702 ],[1. 0. 0.]
36,[0.79917294 0.17706086 0.02376625],[1. 0. 0.]
37,[0.81230605 0.17023769 0.01745622],[1. 0. 0.]
38,[0.00903958 0.02470974 0.96625072],[0. 1. 0.]
39,[0.15924716 0.36012664 0.48062617],[0. 0. 1.]
40,[0.51149213 0.36338428 0.12512358],[1. 0. 0.]
41,[0.00319638 0.00857804 0.98822558],[0. 0. 1.]
42,[0.00328032 0.00930159 0.98741806],[0. 0. 1.]
43,[0.00457336 0.08284595 0.91258073],[0. 1. 0.]
44,[0.00348733 0.00999359 0.98651904],[0. 0. 1.]
45,[0.87617844 0.11349936 0.01032217],[1. 0. 0.]
46,[0.591178   0.38689479 0.02192718],[0. 1. 0.]
47,[0.00646141 0.20305796 0.79048061],[0. 1. 0.]
48,[0.00268201 0.01995736 0.97736061],[0. 0. 1.]
49,[0.87743843 0.10895594 0.01360557],[0. 0. 1.]
50,[0.92449176 0.06742181 0.00808638],[1. 0. 0.]
51,[0.00511087 0.11283094 0.8820582 ],[0. 0. 1.]
52,[0.02963804 0.80723876 0.16312313],[0. 1. 0.]
53,[0.77507943 0.19270478 0.0322158 ],[1. 0. 0.]
54,[0.27239656 0.5717454  0.15585808],[0. 1. 0.]
55,[0.46943554 0.5074203  0.02314411],[1. 0. 0.]
56,[0.19084451 0.69972754 0.10942794],[1. 0. 0.]
